path,notes_list
../dataset/grieg/grieg_walzer.mid,"[64, 70, 67, 64, 64, 74, 69, 64, 63, 71, 72, 69, 64, 68, 65, 62, 69]"
../dataset/haydn/haydn_9_1.mid,"[75, 72, 75, 74, 70]"
../dataset/haydn/haydn_9_2.mid,"[75, 75, 74, 79, 72, 69]"
../dataset/haydn/hay_40_1.mid,"[74, 67, 70, 77, 72, 69, 83, 73, 62, 69, 59, 69, 76, 80, 76]"
../dataset/haydn/haydn_8_1.mid,"[74, 74, 82, 73]"
../dataset/haydn/hay_40_2.mid,"[74, 67, 66, 71, 86, 71, 77, 75, 68, 64, 75, 83, 74]"
../dataset/haydn/haydn_8_4.mid,"[72, 71, 66]"
../dataset/haydn/haydn_8_3.mid,"[75, 76, 74, 74, 73, 83, 79]"
../dataset/haydn/haydn_43_2.mid,"[75, 74, 73, 74, 72, 68, 72, 75, 71, 73, 72, 73]"
../dataset/haydn/haydn_33_1.mid,"[73, 68, 75, 54, 63, 66, 82, 62, 60, 67, 61, 70, 74, 83, 68, 67, 78, 74]"
../dataset/haydn/haydn_7_1.mid,"[76, 75, 76, 72, 77, 79]"
../dataset/haydn/haydn_9_3.mid,"[76, 72, 75, 79, 78]"
../dataset/haydn/haydn_43_3.mid,"[74, 71, 64, 70, 68, 66, 74, 76, 78, 73, 76, 69, 73, 76]"
../dataset/haydn/haydn_35_1.mid,"[72, 77, 73, 63, 74, 83, 68, 76, 74, 81, 72, 82, 60, 85, 72]"
../dataset/haydn/haydn_35_3.mid,"[76, 83, 69, 76, 79, 83, 81, 74, 78, 84]"
../dataset/haydn/haydn_8_2.mid,"[75, 72, 70, 81, 74]"
../dataset/haydn/haydn_7_2.mid,"[76, 75, 72, 67, 75, 74, 72, 72, 81, 67, 72, 70, 75, 77, 76]"
../dataset/haydn/haydn_33_2.mid,"[75, 76, 70, 67, 67, 71, 62, 75, 83, 68, 69, 84, 78]"
../dataset/haydn/haydn_43_1.mid,"[74, 60, 77, 76, 70, 77, 75, 63, 71, 69, 80, 63, 65, 69, 72, 70, 77, 56, 77, 55, 73, 58, 79]"
../dataset/haydn/haydn_35_2.mid,"[57, 74, 81, 74, 64, 79, 76, 79, 57, 81, 72, 82, 74, 82, 79, 78, 77, 70, 72, 70]"
../dataset/haydn/haydn_33_3.mid,"[69, 76, 72, 79, 74, 74, 74, 74, 77, 72, 77, 74, 79]"
../dataset/haydn/haydn_7_3.mid,"[74, 76, 80]"
../dataset/liszt/liz_et_trans8.mid,"[79, 55, 52, 52, 80, 70, 60, 60, 95, 86, 66, 85, 88, 68, 75, 68, 72, 49, 71, 73, 55, 73, 61, 71, 56]"
../dataset/liszt/liz_et5.mid,"[73, 86, 75, 77, 70, 92, 58, 78, 73, 95, 63, 81, 87, 70, 81, 63, 59, 60, 62, 71]"
../dataset/liszt/liz_rhap10.mid,"[82, 80, 71, 72, 73, 82, 83, 80, 81, 75, 82, 80, 86, 73, 74, 53, 93, 62, 78, 86, 62, 87, 76, 62, 64, 72, 80, 81, 86, 83, 77, 76, 79, 82, 59, 70, 57, 62, 76, 64, 79, 68, 62, 70, 69, 80, 81, 52, 71, 79, 76, 78, 85, 72]"
../dataset/liszt/liz_rhap02.mid,"[82, 83, 56, 61, 97, 61, 76, 79, 80, 56, 74, 65, 97, 75, 68, 80, 92, 74, 79, 75, 74, 90, 73, 94, 52, 70, 66, 77, 83, 85, 60, 61, 63, 78, 78, 59, 56, 74, 66, 70, 75, 75, 80]"
../dataset/liszt/liz_et6.mid,"[76, 61, 72, 87, 79, 76, 83, 76, 46, 76, 76, 76, 76, 83, 69, 61, 93, 81, 52, 60, 76, 45, 73, 87, 68, 79, 59, 46, 76, 52, 82, 70, 95, 45, 73, 61, 63, 52, 61, 82, 64, 86, 72, 59, 79, 64, 81, 72]"
../dataset/liszt/liz_et2.mid,"[72, 59, 88, 64, 85, 79, 81, 65, 94, 96, 72, 63, 66, 64, 71, 59, 60, 55, 74, 67, 63, 76, 79, 74, 83, 83, 70, 68, 65, 55, 62, 69, 61, 62, 58, 59, 84, 58, 80, 65, 58, 75, 66, 64, 60, 73, 58, 68, 81, 81, 63, 92, 55, 63, 64, 69, 62, 59, 60, 65, 67, 61, 68]"
../dataset/liszt/liz_rhap09.mid,"[79, 75, 68, 89, 60, 70, 57, 46, 58, 66, 82, 74, 80, 66, 67, 73, 70, 55, 65, 78, 64, 71, 58, 70, 66, 57, 69, 77, 56, 84, 67, 81, 65, 70, 81, 61, 77, 79, 84, 62, 75, 62, 96, 77, 86, 67, 70, 57, 58, 84, 70, 63, 75, 70, 80, 66, 58, 67, 77, 55]"
../dataset/liszt/liz_et3.mid,"[84, 90, 95, 92, 91, 87, 87, 95, 71, 94, 73, 87, 87, 85, 88, 73, 88, 75, 83, 83, 96, 82, 94, 96, 91, 88, 94, 89, 94, 93, 87, 91, 83, 85, 84, 67, 99, 87, 53, 75, 59, 72, 89, 99]"
../dataset/liszt/liz_et1.mid,"[66, 60, 70, 50, 80, 83, 84, 83, 70, 103, 63, 46, 60, 69, 91, 65, 98, 67]"
../dataset/liszt/liz_rhap12.mid,"[77, 61, 89, 92, 72, 68, 61, 65, 85, 77, 65, 80, 68, 80, 71, 63, 68, 80, 55, 61, 64, 91, 88, 57, 66, 66, 92, 84, 84, 89, 76, 89, 91, 82, 46, 101, 76, 76, 96, 75, 87, 73, 68, 68, 77, 94, 73, 62, 80, 73, 75, 68, 78, 85, 85, 79, 72, 62]"
../dataset/liszt/liz_et_trans4.mid,"[74, 64, 79, 45, 78, 72, 74, 82, 63, 53, 62, 76, 65, 59, 79, 67, 69, 52, 49, 68, 78, 88, 65, 75, 65, 77, 77, 58, 61, 75, 75, 54, 61, 63, 63, 66, 60, 91, 77, 59, 70, 74, 74]"
../dataset/liszt/liz_et4.mid,"[76, 86, 73, 86, 74, 77, 86, 74, 68, 64, 68, 70, 68, 67, 65, 68, 65, 74]"
../dataset/liszt/liz_et_trans5.mid,"[78, 77, 91, 79, 61, 80, 53, 78, 99, 79, 78, 84, 76, 71, 96, 86, 90, 86, 83, 78]"
