,path,notes_list,str_notes
44,../dataset/grieg/grieg_waechter.mid,"[67, 67, 64, 59, 60, 75, 59, 65]",G4 G4 E4 B3 C4 D♯5 B3 F4
45,../dataset/grieg/grieg_spring.mid,"[58, 76, 66, 74, 63, 74, 67, 66, 85, 75, 66, 71]",A♯3 E5 F♯4 D5 D♯4 D5 G4 F♯4 C♯6 D♯5 F♯4 B4
46,../dataset/grieg/grieg_voeglein.mid,"[74, 80, 74, 81, 74, 49, 58, 67, 84, 72]",D5 G♯5 D5 A5 D5 C♯3 A♯3 G4 C6 C5
47,../dataset/grieg/grieg_march.mid,"[72, 67, 73, 60, 67, 67, 50, 67, 60, 55, 84, 60, 52, 50, 71, 71, 53]",C5 G4 C♯5 C4 G4 G4 D3 G4 C4 G3 C6 C4 E3 D3 B4 B4 F3
48,../dataset/grieg/grieg_kobold.mid,"[71, 52, 73, 49, 63, 47, 63, 69, 68, 54, 71]",B4 E3 C♯5 C♯3 D♯4 B2 D♯4 A4 G♯4 F♯3 B4
49,../dataset/grieg/grieg_wedding.mid,"[67, 73, 63, 78, 47, 75, 64, 76, 51, 79, 74, 77, 71, 74, 73]",G4 C♯5 D♯4 F♯5 B2 D♯5 E4 E5 D♯3 G5 D5 F5 B4 D5 C♯5
50,../dataset/grieg/grieg_album.mid,"[76, 69, 72, 61, 67, 65, 81, 71, 82, 79, 69, 82, 67, 74, 89, 67, 64, 84]",E5 A4 C5 C♯4 G4 F4 A5 B4 A♯5 G5 A4 A♯5 G4 D5 F6 G4 E4 C6
51,../dataset/grieg/grieg_brooklet.mid,"[74, 72, 59, 76, 71, 61, 66, 62, 72, 71]",D5 C5 B3 E5 B4 C♯4 F♯4 D4 C5 B4
52,../dataset/grieg/grieg_walzer.mid,"[64, 70, 67, 64, 64, 74, 69, 64, 63, 71, 72, 69, 64, 68, 65, 62, 69]",E4 A♯4 G4 E4 E4 D5 A4 E4 D♯4 B4 C5 A4 E4 G♯4 F4 D4 A4
53,../dataset/haydn/hay_40_1.mid,"[74, 67, 70, 77, 72, 69, 83, 73, 62, 69, 59, 69, 76, 80, 76]",D5 G4 A♯4 F5 C5 A4 B5 C♯5 D4 A4 B3 A4 E5 G♯5 E5
54,../dataset/haydn/hay_40_2.mid,"[74, 67, 66, 71, 86, 71, 77, 75, 68, 64, 75, 83, 74]",D5 G4 F♯4 B4 D6 B4 F5 D♯5 G♯4 E4 D♯5 B5 D5
55,../dataset/haydn/haydn_43_2.mid,"[75, 74, 73, 74, 72, 68, 72, 75, 71, 73, 72, 73]",D♯5 D5 C♯5 D5 C5 G♯4 C5 D♯5 B4 C♯5 C5 C♯5
56,../dataset/haydn/haydn_33_1.mid,"[73, 68, 75, 54, 63, 66, 82, 62, 60, 67, 61, 70, 74, 83, 68, 67, 78, 74]",C♯5 G♯4 D♯5 F♯3 D♯4 F♯4 A♯5 D4 C4 G4 C♯4 A♯4 D5 B5 G♯4 G4 F♯5 D5
57,../dataset/haydn/haydn_43_3.mid,"[74, 71, 64, 70, 68, 66, 74, 76, 78, 73, 76, 69, 73, 76]",D5 B4 E4 A♯4 G♯4 F♯4 D5 E5 F♯5 C♯5 E5 A4 C♯5 E5
58,../dataset/haydn/haydn_35_1.mid,"[72, 77, 73, 63, 74, 83, 68, 76, 74, 81, 72, 82, 60, 85, 72]",C5 F5 C♯5 D♯4 D5 B5 G♯4 E5 D5 A5 C5 A♯5 C4 C♯6 C5
59,../dataset/haydn/haydn_35_3.mid,"[76, 83, 69, 76, 79, 83, 81, 74, 78, 84]",E5 B5 A4 E5 G5 B5 A5 D5 F♯5 C6
60,../dataset/haydn/haydn_7_2.mid,"[76, 75, 72, 67, 75, 74, 72, 72, 81, 67, 72, 70, 75, 77, 76]",E5 D♯5 C5 G4 D♯5 D5 C5 C5 A5 G4 C5 A♯4 D♯5 F5 E5
